,X,Y
0,439566.6649106961,6184042.651202385
1,439166.1222794535,6184198.845683203
2,439000.472092516,6184114.125309933
3,439137.2607623002,6184206.373927019
4,439285.55304479,6184278.764089141
5,439056.0589289381,6184152.303215446
6,439156.17875817406,6184218.575491279
7,439257.02719674533,6184269.924342127
8,439036.87711095694,6184139.21530314
9,438893.59906388953,6184040.605114686
10,439353.6038724376,6184298.4053848535
11,439197.71291873645,6184242.927076757
12,439227.6442583407,6184258.091416339
13,439217.9236248852,6184253.441159077
14,438967.0521147015,6184091.776402038
15,438940.6731804214,6184075.228152578
16,439118.5275999859,6184193.947232494
17,439385.49413720344,6184305.751768502
18,439363.85734271293,6184300.822309635
19,438975.40831443924,6184097.447070835
20,439314.0191985873,6184287.827474631
21,439247.0698916885,6184266.2791177835
22,438964.6190527932,6184119.415406701
23,438950.04455494205,6184099.584531951
24,439594.0808488014,6183858.943250653
