,X,Y
0,423737.4167022903,6190555.062755612
1,423191.2159891269,6190685.826570819
2,423228.64421147696,6190646.0898750005
3,423419.45320780785,6190626.015372062
4,423257.9318937502,6190666.387932957
5,423159.5908918111,6190692.621224082
6,423398.7005735753,6190624.489753663
7,423215.8310517414,6190682.718615179
8,423696.21456437133,6190562.133331049
9,423341.60386541137,6190646.205043431
10,423280.2704904188,6190665.547069464
11,423625.35373545764,6190573.957111773
12,423594.5789539885,6191037.368052853
13,423594.77717506984,6191048.607877494
14,423676.6013432448,6190998.518814503
15,423399.1386105937,6190985.715705676
16,423386.8881930568,6190983.371952162
17,423613.5940280858,6190624.369682286
18,423378.0132965216,6190814.322313116
19,423370.8799913169,6190871.221725479
20,423398.43902169046,6190726.574880648
21,423384.683660179,6190798.5082236845
22,423436.52494123124,6191088.9165220335
23,423441.4255314193,6191079.256390087
24,423370.49344654474,6190644.02423436
25,423381.79296585696,6190635.030131691
26,423198.6355932293,6190726.43824846
27,423408.54616356926,6190628.879833376
28,423459.93083747703,6190599.251293393
29,423391.70238309226,6190632.405880255
30,423431.2362745127,6190619.57321724
31,423508.4047056908,6190585.59352147
32,423531.2850012594,6190576.395403602
33,423481.6805903211,6190593.412479081
34,423133.29793545924,6190745.853380603
35,423366.74668753584,6191026.920382631
36,423502.5185548578,6190982.775941166
37,423641.1609701751,6190987.677336048
38,423245.74450280896,6190703.005497938
39,423239.1627005982,6190691.990075862
40,423136.9809243998,6190695.805252654
41,423230.3185616932,6190673.444973281
42,423176.74329892284,6190688.866151807
43,423204.9759656524,6190677.901581628
44,423328.81861773576,6190893.227985711
45,423365.55384945497,6190977.181375758
46,423360.82800866204,6190957.783944078
47,423450.16400184116,6190989.155340886
48,423257.89121077134,6190727.726064722
49,423460.0516551404,6190992.431573422
50,423276.8175214075,6190767.577472135
51,423415.13818471704,6190984.097015162
52,423481.0056952666,6190991.282201744
53,423351.07670222735,6190933.911294677
54,423299.7354871753,6190820.716711536
55,423333.1111574959,6190902.280279144
56,423342.43899162486,6190916.364210736
57,423314.17671535106,6190851.296774269
58,423433.65550286067,6190986.775372582
59,423270.1876544799,6190746.766682797
60,423284.9850372891,6190790.364808401
61,423355.95453973603,6190947.740020685
62,423602.72276668996,6190991.471922207
63,423530.3543631428,6191016.793759254
64,423667.37296386494,6190993.560677848
65,423651.4163340967,6190994.064479542
66,423632.94235994254,6190993.833471475
67,423521.04279524984,6191000.037474114
68,423589.1639783089,6190989.484631543
69,423622.80663874897,6190994.23478037
70,423512.80136952223,6190987.158516665
71,423653.43932687957,6191005.8287459025
72,423670.1650913508,6191016.99999449
73,423661.803828362,6191025.7189481165
74,423336.62798125116,6190885.186067273
75,423117.33663453587,6190700.27261998
76,423273.92380696005,6190717.311999387
77,423245.4370010129,6190671.507336366
78,423346.7309777235,6190904.154378768
79,423280.65372729435,6190740.2361056
80,423146.93630318047,6190688.726809271
81,423296.1134916233,6190778.813131197
82,423267.6679267633,6190699.945515771
83,423331.6244125122,6190867.79734112
84,423320.7487425864,6190833.480555887
85,423085.08851107815,6190700.17702002
86,423255.41620348435,6190679.902228986
87,423095.0667471829,6190701.447069798
88,423287.5772736715,6190763.490753609
89,423474.68871808454,6190977.4787647445
90,423562.8583117934,6190988.9467726825
91,423444.6386373903,6190970.551194645
92,423597.2451637747,6190975.538435841
93,423615.10468006216,6191004.834642051
94,423585.38630397915,6190977.640018405
95,423378.85026757966,6190957.2425443875
96,423406.35473529814,6190972.452353992
97,423212.469225301,6190606.0785826
98,423586.7033317206,6190956.465990513
99,423579.1136787315,6190948.584815456
