,X,Y
0,425341.37555827544,6186494.5091979075
1,425353.8352432836,6186526.577072772
2,425202.63483211497,6186713.746415084
3,425466.7399283948,6186531.983186701
4,425730.62166133535,6186683.748660324
5,425749.4922419342,6186698.787547357
6,425633.4757313256,6186211.643759072
7,425810.1656906192,6186219.083264613
8,425285.96268606297,6186246.444432392
9,425868.1810494591,6186247.034394383
10,425345.37696809944,6186235.29193925
11,425209.18393322837,6186264.687396242
12,425724.0337811643,6186214.656828133
13,425374.2911990645,6186513.423632917
14,425334.84649260936,6186523.007652378
15,425391.7393907637,6186511.231176827
16,425604.69576227944,6186207.350392914
17,425251.6412781307,6186651.788183129
18,425419.4800823972,6186221.772750875
19,425259.7130847164,6186250.792594681
20,425165.30704276456,6186271.788979541
21,425367.80020943837,6186227.113974999
22,425264.2077452319,6186464.445930053
23,425238.21147193445,6186454.318537012
24,425398.38500406273,6186223.3598505305
25,425212.66901036457,6186445.07402025
26,425301.70106619044,6186479.830124414
27,425234.3547624207,6186674.238339712
28,425403.3659548531,6186520.381993667
29,425292.6444200761,6186612.677234692
30,425485.95376965834,6186220.185538627
31,425187.39532022784,6186745.846169248
32,425316.0755714631,6186237.131945705
33,425330.9608501696,6186490.235683543
34,425351.452080982,6186497.341419968
35,425336.7495330403,6186578.96790223
36,425463.1989467617,6186220.019735533
37,425271.719218681,6186631.293749826
38,425172.3989986299,6186428.625280634
39,425519.74959326367,6186217.267680322
