,X,Y
0,419774.11496995506,6185766.307042785
1,419941.19054056506,6185967.497011724
2,419790.0973384488,6185844.159444027
3,419749.1827280267,6185794.375748178
4,419802.3605670568,6185866.642437796
5,419781.3156987858,6185830.295219505
6,419910.9734954144,6185957.145021275
7,419837.34959030215,6185918.094554978
8,419764.509069737,6185874.021345364
9,419746.5717943188,6185883.704017095
10,419912.1229764151,6186267.37715968
11,419833.15165334893,6185867.298109557
12,419856.0735464692,6185835.593395949
13,419899.44318073534,6185998.101525262
14,419903.38715953694,6185804.2178494
15,419911.7395423971,6186137.917175039
16,420088.6927574462,6186209.4631545
17,419509.28846781666,6186082.24358817
18,419510.3594938753,6186065.636762003
19,419773.46777411527,6185860.163166455
20,419784.15387244243,6185868.537413086
21,419950.59464382386,6186127.29265369
22,420048.7027658996,6186144.854002284
23,420078.2157330797,6186151.100981235
24,419877.52764013415,6186114.837182396
25,419798.5860233458,6186133.884212612
26,419689.35965716554,6186182.882003606
27,419826.65907260403,6186123.235209437
28,419864.47353568533,6186113.965000871
29,420005.73308229883,6186136.294858189
30,419964.2978715945,6186129.377658276
31,419770.44427501084,6186144.200706089
32,419715.3149271852,6186169.599734882
33,419580.0176732798,6186218.748774627
34,419482.90974798123,6186258.510246345
35,419410.80082621827,6186284.116994137
36,419497.22848607745,6186253.235104308
37,419551.28956582287,6186231.192701024
38,419649.63784981985,6186197.42120524
39,419432.9689781424,6186276.2467845725
40,419523.97802300303,6186242.274688743
41,419662.6637773263,6186193.395097618
42,419623.3960232766,6186205.365736544
43,419925.99644050386,6186139.435232327
