,X,Y
0,417990.8117912175,6190401.297294707
1,417861.2487556492,6190533.55476678
2,417832.0956979265,6190439.259562123
3,417956.70078538416,6190445.247911175
4,417942.35748119344,6190117.67111033
5,417376.08173362364,6190340.6138834
6,417297.5525179777,6190163.436541863
7,417371.6995926055,6190537.741205979
8,417438.19857788825,6190609.836284259
9,417309.6996059925,6190635.887308228
10,417399.43393259106,6190333.711907317
11,417534.55235060345,6190424.65073284
12,417442.8823259535,6190148.976585512
13,417401.9695629206,6190138.178446973
14,417459.79175448674,6190425.183498982
15,417439.4974925132,6190323.040602374
