,X,Y
0,421997.12929784006,6187854.67515027
1,422280.99294624425,6187681.596830175
2,421902.5730489588,6187405.305980054
3,421891.6530715847,6187352.180080776
4,421904.6333251824,6187450.131046374
5,421818.0449217284,6187874.820411416
6,421574.05527679453,6187420.472691459
7,421841.748122939,6187691.60477002
8,421954.1021189596,6187782.534259298
9,422051.13456149364,6187456.958170755
10,422055.8033009087,6187441.2894200245
11,421906.5457265535,6187497.1851881165
12,422061.3011653469,6187454.326439033
13,422032.98119493714,6187653.208384091
14,421967.4563969971,6187803.890157101
15,421925.3398383197,6187872.887600428
16,421916.9315788398,6187879.161602008
17,421947.3797909891,6187858.130551436
18,421893.33776410273,6187449.221219483
19,422035.0963869714,6187467.599206526
20,422077.4340892819,6187435.000811558
21,421908.0217270955,6187478.234129517
22,421967.949519445,6187476.042445375
23,422128.41350580903,6187370.632727933
24,421996.7265470119,6187473.4097710475
25,421890.09021235944,6187397.626984072
26,421592.3163669195,6187595.250062243
27,421824.63643931574,6187520.924743042
28,421840.3081782532,6187775.12116111
29,421877.12688680395,6187345.873757586
30,421893.5775379856,6187413.81698231
31,421878.69727427734,6187617.467547236
32,421873.2987656783,6187641.276059517
33,421855.41039780434,6187712.620829991
34,421867.884831904,6187688.573497536
35,421895.83479916584,6187546.136423736
36,421821.10183033405,6187860.182305288
37,421899.1147311284,6187463.811507124
38,421854.97512744187,6187747.583334514
39,421884.8418866088,6187374.121547162
40,421857.4748979343,6187702.00818022
41,421891.4195592154,6187426.212415455
42,421895.33296730905,6187497.387073572
43,421881.6228061776,6187605.948841141
44,421885.13419949356,6187581.7290456565
45,421851.72735010245,6187723.8192462865
46,422111.09758437774,6187352.019155531
