nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,0.000000000000000000e+00,4.545569376141084916e+01,nan,nan,nan,0.000000000000000000e+00,nan,9.429508131371427737e+01,3.110970046586687090e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.392434475120195181e+01,0.000000000000000000e+00,nan,nan,nan,nan,2.479427418393353832e+02,1.026400777809487437e+02,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.173474631906086501e+02,1.760325893354062714e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.125609105244101329e+02,7.265628458078039387e+01,1.178142674695666727e+02,2.043728246893973051e+02,nan,9.487305677642555679e+01,nan,nan,nan,4.914938135987055290e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.268848650511473863e+01,1.029667978614787955e+02,nan,nan,nan,nan,nan,nan,nan,nan,2.083167967398708811e+02,2.764188723724054171e+02,7.396748084478099372e+01,6.434754910994868737e+01,6.012368354836232953e+01,0.000000000000000000e+00,nan,0.000000000000000000e+00,nan,nan,nan,7.405356483733881134e+01
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,8.493110049850464804e+01,8.438061490780539486e+01,8.730225733275258904e+01,nan,nan,nan,7.198244714441872816e+01,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,7.885760765523723137e+01,nan,0.000000000000000000e+00,3.338300071288938398e+02,0.000000000000000000e+00,nan,5.126025424066315139e+01,2.052418602854653216e+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.002102489676430110e+02,7.572647077826827910e+01,9.895430570010231008e+01,5.085807871369539157e+02,6.771448696885319407e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.160417667949305098e+01,2.540751209592958162e+02,1.613525562549966708e+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,3.136483023122661251e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,5.196275945035561250e+01,3.790910827154646512e+01,1.375451452948304336e+02,0.000000000000000000e+00,1.086580654135335955e+01,3.202648923821389531e+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.594006933154704342e+01,3.687885432705297717e+01,5.423790903851327272e+01,8.151480598506975639e+01,6.586011423590603044e+02,0.000000000000000000e+00,4.722482796265177853e+02
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5.529844831591881302e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.963705509727782328e+01,1.156463122377288215e+02,1.801606090409408125e+02,1.705211837074448624e+02,0.000000000000000000e+00,1.076749738960957075e+02,2.797893840150381948e+02
6.250548022293623518e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.889825592463282646e+02,1.111639814302419040e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,nan,nan,nan,1.021582150403183249e+02,0.000000000000000000e+00,3.548000685328692043e+02,2.177197043436025012e+02,nan,nan,nan,nan,nan,2.116819826746187800e+02,0.000000000000000000e+00,nan,2.635240896623975004e+02,1.196399115318209567e+02,7.341348823782311683e+01,1.546774466339856247e+02,nan
1.088138625568103066e+02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.000000000000000000e+00,3.698775159360695852e+02,1.561365453319344567e+02,2.389120152607448802e+02,nan,nan,nan,nan,nan,nan,nan,1.113671987734042723e+01,8.769705843055450600e+01,nan,nan,0.000000000000000000e+00,9.145551615205680207e+01,7.703812380870442666e+01,7.690569155513183830e+01,nan,nan,nan,nan,nan,nan,nan,nan,2.500010298634587400e+02,1.410418728172099918e+02,0.000000000000000000e+00,9.859074047949064834e+01,3.454245165087193072e+02,1.296424638756190539e+01,nan
