name,lon,lat
Point 190,39.1046724,22.3091331
Point 191,39.1056541,22.3087162
Point 192,39.1061369,22.3094011
Point 193,39.1067109,22.3098875
Point 194,39.1059491,22.3099073
Point 195,39.1056434,22.3105475
Point 196,39.1053161,22.3101009
Point 197,39.1054556,22.3108949
Point 198,39.1049674,22.3104582
Point 199,39.104608,22.3099884
Point 200,39.104313,22.3096062
Point 201,39.103857,22.3097899
Point 202,39.1034547,22.3093109
Point 203,39.1028914,22.3092142
Point 204,39.1022584,22.3097998
Point 205,39.10287,22.3097105
Point 206,39.1031274,22.3102216
Point 207,39.1027037,22.3106733
Point 208,39.1052893,22.3114524
Point 209,39.1049192,22.3113829
Point 210,39.1025151,22.3119474
Point 211,39.1228735,22.3063109
Point 212,39.1228413,22.3070256
Point 213,39.1218971,22.3061918
Point 214,39.1218328,22.3066385
Point 215,39.1219186,22.3071348
Point 216,39.1211139,22.3078792
Point 217,39.1211247,22.3075814
Point 218,39.1193222,22.3072241
Point 219,39.1180348,22.3055665
Point 220,39.1206848,22.3048915
Point 221,39.1206526,22.303708
Point 222,39.1213821,22.3039859
Point 223,39.1226052,22.3031124
Point 224,39.1237854,22.3037279
Point 225,39.1281955,22.3113988
Point 226,39.1188481,22.3006733
Point 227,39.1186979,22.3003358
Point 228,39.1164727,22.3045018
Point 229,39.1066896,22.3142435
Point 230,39.1049461,22.3145462
Point 231,39.0918021,22.3158388
Point 232,39.1003634,22.3095862
Point 233,39.1012432,22.3110949
Point 234,39.103346,22.3120726
Point 235,39.1043974,22.3126681
Point 236,39.1074619,22.3079192
Point 237,39.1041574,22.3059052
Point 238,39.114705,22.3260955
Point 239,39.1141739,22.3255001
Point 240,39.1043219,22.3084347
Point 241,39.1042798,22.3089499
Point 242,39.1033249,22.3089176
Point 243,39.1037755,22.3087613
