BSSID,Latitude,Longitude,Security
02242B5EFC35,55.887067,-4.375929,None
0090D0FEFF26,55.887067,-4.375929,WPA
001D684ED21B,55.884155,-4.369084,WEP
00242B47C841,55.884155,-4.369084,WEP
001601F406CB,55.884155,-4.369084,WPA
001601A1EA61,55.884155,-4.369084,None
0016010A6B09,55.882992,-4.363965,WPA
001D7E368802,55.882962,-4.363813,WEP
001CDF05F914,55.882669,-4.361833,WPA2
0A210482B84A,55.882619,-4.361553,None
06210482B84A,55.882619,-4.361553,None
00160A12E5F4,55.882619,-4.361553,None
001D0FE930C0,55.882619,-4.361553,None
00210482B84A,55.882517,-4.361095,WEP
001B9E654A64,55.882517,-4.361095,None
001B9E654A65,55.882517,-4.361095,None
001B9E654A67,55.882517,-4.361095,None
001B9E654A66,55.882517,-4.361095,None
00173FC26D69,55.882356,-4.360396,None
00223FC48F34,55.882356,-4.360396,WPA
001F334BB358,55.882334,-4.360316,WPA
00234EC207F3,55.882154,-4.3597,WPA2
0016E63CBABC,55.882154,-4.3597,WPA2
00226B7B2D57,55.882107,-4.359577,WPA2
02234EC207F5,55.881951,-4.358963,None
001F334200F8,55.881951,-4.358963,WPA
00184D01132A,55.881769,-4.358238,WPA
02234EC207F4,55.88166,-4.357818,None
0090D0592585,55.88166,-4.357818,None
001F33C1417E,55.881564,-4.357479,WPA
001B2FDBDDDE,55.881564,-4.357479,WPA2
00234EAD4B74,55.88115,-4.356119,WPA2
0018F609A8E9,55.880996,-4.355667,WEP
00184D5E1842,55.880172,-4.353574,WEP
00223F167B78,55.879705,-4.352425,WPA
001D6851B667,55.879319,-4.351351,WEP
001C10142E68,55.879195,-4.351051,None
0019E0FF1A98,55.879041,-4.350675,None
0019CB3B601A,55.878063,-4.348106,WPA
001B2FFF6C16,55.877875,-4.34764,WPA
0090D0DE031D,55.877875,-4.34764,WPA
00064F24936E,55.877875,-4.34764,None
0090D0F2AA06,55.877875,-4.34764,WEP
002163FAEA2B,55.877746,-4.347352,WPA
00234E9EE0C0,55.877746,-4.347352,WPA2
0090D0E2F60B,55.877746,-4.347352,WEP
00183933DA16,55.877526,-4.34683,WEP
001E52F4C890,55.877366,-4.346357,WPA2
00223FB62B94,55.877177,-4.345752,WPA
0090D0FE9087,55.877177,-4.345752,None
0024B22BD02C,55.877177,-4.345752,WPA
001B2F0D8550,55.877177,-4.345752,WEP
00147FA23006,55.876634,-4.340539,WEP
001D6803775B,55.876634,-4.340539,WEP
00234EB6A3C8,55.876634,-4.340539,WPA2
02242BBD8669,55.876634,-4.340539,None
02242BBD8668,55.876634,-4.340539,None
00242BBD8667,55.876634,-4.340539,WPA2
0040F4D24633,55.876634,-4.340539,WEP
00184DB70B46,55.876634,-4.340539,None
000FB33FD663,55.876634,-4.340539,None
CA74C1DFF07C,55.876583,-4.340384,None
00234D33ECB8,55.876382,-4.33942,WPA2
0012174A30B2,55.876382,-4.33942,WPA
00173FDBD931,55.874452,-4.331363,None
021B77000090,55.874311,-4.330532,WEP
00223F370B9A,55.874407,-4.329817,WPA
0090D0DEB005,55.874407,-4.329817,WPA
001D6852A6BF,55.874407,-4.329817,WPA
0024B295BA0E,55.87266,-4.325548,WPA
00210482E93A,55.872299,-4.325596,WPA2
001E748AF35C,55.872615,-4.327395,WPA
00223F6110B8,55.872899,-4.327798,WPA2
001D68E76773,55.873205,-4.329022,WEP
00173F01BA8E,55.871203,-4.330443,None
00183927E402,55.862779,-4.335229,WPA
001F9F3DBDC5,55.862779,-4.335229,WEP
001B2F9D3B50,55.862779,-4.335229,WPA
001D684A10AB,55.862779,-4.335229,WEP
001D68EDB897,55.861339,-4.337033,WPA2
001D686A422F,55.861339,-4.337033,WEP
002348E6744C,55.86069,-4.337467,WPA
00147F9BFE98,55.859159,-4.338517,WEP
001B2F9D0B96,55.857143,-4.340033,None
00242B35891C,55.857143,-4.340033,WPA2
0022B05E14F4,55.857143,-4.340033,WPA
001360EF6F84,55.85535,-4.341365,WEP
001360EF6F82,55.85535,-4.341365,WEP
001D680AF9CF,55.85535,-4.341365,WPA2
00175A5CCF62,55.85535,-4.341365,WEP
563DD15533BA,55.854462,-4.34273,None
00184D61795E,55.854462,-4.34273,WPA
0011F59722B8,55.854462,-4.34273,WEP
0021048C5A2A,55.854462,-4.34273,WPA2
001B2F9AFCD0,55.854462,-4.34273,WPA
0090D04AA89C,55.854462,-4.34273,WPA
E6E21C5CC6BC,55.854462,-4.34273,WEP
0018F692B38B,55.854462,-4.34273,WEP
